Date_Time;Store;Product;Quantity;Unit_Price;Unit_Cost;Unit_Profit;Total_Price02/10/2022 08:04;store5;p8;4;276.02;146.04;129.99;1104.10
02/10/2022 08:20;store5;p43;1;60.90;20.76;40.14;60.90
02/10/2022 08:02;store5;p23;3;337.98;131.96;206.02;1013.94
02/10/2022 08:00;store5;p31;6;75.33;25.46;49.87;451.99
02/10/2022 08:33;store5;p13;3;17.66;6.34;11.32;52.97
02/10/2022 08:47;store5;p4;5;225.57;177.48;48.09;1127.83
02/10/2022 08:49;store5;p23;2;337.98;131.96;206.02;675.96
02/10/2022 08:12;store5;p16;7;478.13;386.77;91.36;3346.89
02/10/2022 08:51;store5;p40;9;21.93;14.63;7.31;197.38
02/10/2022 08:15;store5;p25;8;243.58;82.22;161.37;1948.67
02/10/2022 08:45;store5;p7;6;191.71;130.20;61.51;1150.26
02/10/2022 08:39;store5;p46;8;257.59;91.35;166.24;2060.74
02/10/2022 08:45;store5;p47;3;160.57;75.70;84.88;481.72
02/10/2022 08:27;store5;p44;8;60.91;24.42;36.49;487.29
02/10/2022 08:16;store5;p41;5;311.78;221.79;89.99;1558.90
02/10/2022 08:43;store5;p40;7;21.93;14.63;7.31;153.51
02/10/2022 08:40;store5;p20;3;218.54;129.08;89.46;655.62
02/10/2022 08:19;store5;p26;2;336.95;145.07;191.88;673.90
02/10/2022 08:53;store5;p11;2;440.25;268.94;171.31;880.50
02/10/2022 08:53;store5;p18;5;322.61;145.70;176.92;1613.06
02/10/2022 08:22;store5;p28;4;147.57;95.79;51.78;590.26
02/10/2022 08:24;store5;p28;5;147.57;95.79;51.78;737.83
02/10/2022 08:32;store5;p45;6;288.89;164.32;124.57;1733.33
02/10/2022 08:27;store5;p31;3;75.33;25.46;49.87;225.99
02/10/2022 08:45;store5;p41;2;311.78;221.79;89.99;623.56
02/10/2022 08:52;store5;p3;9;104.77;50.37;54.40;942.93
02/10/2022 08:07;store5;p9;9;310.26;140.97;169.29;2792.34
02/10/2022 08:13;store5;p14;1;460.27;340.94;119.33;460.27
02/10/2022 08:21;store5;p2;6;483.85;222.77;261.08;2903.11
02/10/2022 08:55;store5;p40;5;21.93;14.63;7.31;109.65
02/10/2022 08:43;store5;p42;4;66.03;49.84;16.19;264.10
02/10/2022 08:24;store5;p8;4;276.02;146.04;129.99;1104.10
02/10/2022 08:02;store5;p31;2;75.33;25.46;49.87;150.66
02/10/2022 08:10;store5;p12;1;101.94;40.36;61.58;101.94
02/10/2022 08:42;store5;p30;9;228.12;152.85;75.27;2053.09
02/10/2022 08:45;store5;p8;9;276.02;146.04;129.99;2484.22
02/10/2022 08:31;store5;p33;8;288.58;126.82;161.75;2308.61
02/10/2022 08:26;store5;p34;8;308.65;114.68;193.97;2469.16
02/10/2022 08:48;store5;p4;7;225.57;177.48;48.09;1578.97
02/10/2022 08:58;store5;p45;1;288.89;164.32;124.57;288.89
02/10/2022 08:12;store5;p28;4;147.57;95.79;51.78;590.26
02/10/2022 08:21;store5;p9;8;310.26;140.97;169.29;2482.08
02/10/2022 08:49;store5;p1;9;305.54;155.19;150.34;2749.82
02/10/2022 08:06;store5;p16;8;478.13;386.77;91.36;3825.02
02/10/2022 08:49;store5;p36;6;322.24;184.54;137.70;1933.45
02/10/2022 08:34;store5;p21;7;360.66;145.76;214.90;2524.60
02/10/2022 08:09;store5;p8;2;276.02;146.04;129.99;552.05
02/10/2022 08:23;store5;p28;4;147.57;95.79;51.78;590.26
02/10/2022 08:51;store5;p17;3;496.92;301.16;195.76;1490.76
02/10/2022 08:29;store5;p34;9;308.65;114.68;193.97;2777.81
02/10/2022 08:55;store5;p30;5;228.12;152.85;75.27;1140.60
